name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,Gap angle,cos(gap angle),UAV Speed,UAV Payload,Final UAV Speed
"Birmingham, England, United Kingdom",6/1/2022,15.4,15.4,7.2,58.27,0,0,,0,0,8.6,8,13,1018.2,11.2,19.1,88,0.3,1,10,Clear,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",326,0.08489703188,20.2840267,8.37433572,20.02570989
"Birmingham, England, United Kingdom",6/1/2022,13.1,13.1,7.7,69.63,0,0,,0,0,3.8,3.5,41,1018.9,3.1,18.2,12,0,0,10,Clear,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",268,0.6704499692,24.61012833,14.10033219,25.32353996
"Birmingham, England, United Kingdom",6/1/2022,10.5,10.5,7.4,81.35,0,0,,0,0,4.7,3,53,1019.3,5,19,5,0,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",213,-0.4656539457,29.07678384,14.11753502,24.35885201
"Birmingham, England, United Kingdom",6/1/2022,8.6,8.6,7.4,92.06,0,0,,0,0,5.2,3.7,246,1020.1,3,16.2,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",351,-0.08665404863,23.4973985,7.49143026,21.88293971
"Birmingham, England, United Kingdom",6/2/2022,7.2,7.2,6.9,97.83,0,0,,0,0,7.1,3.3,83,1020.2,0,13.8,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",104,-0.6673179807,20.48792991,11.77086065,15.41299989
"Birmingham, England, United Kingdom",6/2/2022,6.5,6.5,6.3,98.44,0,0,,0,0,3.4,1.7,291,1020.2,0,10.5,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",28,-0.4783516411,20.89973731,13.60708315,17.75639243
"Birmingham, England, United Kingdom",6/2/2022,6.1,6.1,6,98.84,0,0,,0,0,5.4,2.9,239,1020.2,0,8.9,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",39,-0.6501425387,21.62615394,14.63196363,16.69380451
"Birmingham, England, United Kingdom",6/2/2022,5.2,5.2,5.1,99.3,0,0,,0,0,2,0.6,260,1020.3,3,8.2,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",71,-0.9351404708,20.08194876,4.016910242,18.48371339
"Birmingham, England, United Kingdom",6/2/2022,4.4,4.4,4.3,99.48,0,0,,0,0,4.1,0.5,342,1020.3,0,7.7,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",185,0.9998962744,22.74607758,3.461957536,23.81564681
"Birmingham, England, United Kingdom",6/2/2022,4.2,4.2,4.1,99.04,0,0,,0,0,1,1.3,113,1020.3,60.8,6.7,0,,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03647099999,03535099999,03544099999",41,0.7078511947,25.49249237,8.559456591,25.1470173
"Birmingham, England, United Kingdom",6/2/2022,5.7,5.7,5.7,99.6,0,0,,0,0,2.2,1.4,1,1020.3,29.8,7.7,32,0.1,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",6,-0.2277034173,24.20696654,6.006712012,22.78506598
"Birmingham, England, United Kingdom",6/2/2022,9.2,9.2,9.2,99.94,0,0,,0,0,2,3.6,129,1020.3,1.6,9.3,129,0.5,1,10,Clear,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",111,0.3172243595,21.92942349,10.34585544,21.72830588
"Birmingham, England, United Kingdom",6/2/2022,12.4,12.4,9.9,84.97,0,0,,0,0,6.2,6.5,136,1020.9,0,12.9,257,0.9,3,10,Clear,clear-day,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999",23,-0.09504569302,24.62168182,5.709555598,22.90935266
"Birmingham, England, United Kingdom",6/2/2022,14.7,14.7,9.8,72.28,0,0,,0,0,10.5,6.5,141,1020.8,0,17.7,403,1.5,4,10,Clear,clear-day,3.53E+64,236,0.9252189716,27.88326301,5.390925547,35.48894526
"Birmingham, England, United Kingdom",6/2/2022,16.9,16.9,8.4,57.4,0,0,,0,0,13.1,10.1,140,1020.8,17.8,17.3,558,2,6,10,Clear,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",26,0.8390021599,20.21089466,8.324620688,30.49776136
"Birmingham, England, United Kingdom",6/2/2022,17.8,17.8,7.1,49.74,0,0,rain,0,0,15.2,8.4,31,1020.2,29.2,18.7,696,2.5,7,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",116,0.2678539024,28.09243926,4.493023449,30.58801135
"Birmingham, England, United Kingdom",6/2/2022,18.6,18.6,6.9,46.54,0,0,,0,0,18.5,10.8,126,1020.1,29.7,20.8,813,2.9,8,10,Partially cloudy,partly-cloudy-day,"03529099999,EGBB,03647099999,03535099999,03534099999,03544099999",280,-0.271910817,20.34634387,14.73721979,14.06760388
"Birmingham, England, United Kingdom",6/2/2022,18.3,18.3,6.3,45.54,0,0,rain,0,0,16.5,10.9,142,1019.9,38.6,20.7,287,1,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",92,0.9283833894,22.08602227,6.385767358,35.35518158
"Birmingham, England, United Kingdom",6/2/2022,19.1,19.1,6.1,42.62,0,0,rain,0,0,17.2,9.3,148,1019.2,31.6,19.3,394,1.4,4,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",222,-0.7987374114,28.92134266,4.110307851,17.03243319
"Birmingham, England, United Kingdom",6/2/2022,19.2,19.2,6.1,42.43,0,0,rain,0,0,18.7,9.7,143,1019,23.3,17.5,919,3.3,9,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",107,-0.1688428846,29.53529984,1.93440388,26.67361432
"Birmingham, England, United Kingdom",6/2/2022,19,19,6.3,43.53,0,0,rain,0,0,16.8,11.1,154,1018.9,38.5,20,388,1.4,4,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",199,-0.5230393629,25.96629244,4.280625668,17.07338052
"Birmingham, England, United Kingdom",6/2/2022,19,19,7,45.81,0,0,rain,0,0,14.8,10.1,150,1018.8,39.4,19.8,230,0.8,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",313,0.2012907089,20.73287623,13.26562229,21.72777497
"Birmingham, England, United Kingdom",6/2/2022,18.9,18.9,7.2,46.47,0,0,rain,0,0,14.9,9.6,145,1018.1,47.5,19.6,149,0.5,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",143,0.9997394112,23.80233074,0.5727936228,37.28622811
"Birmingham, England, United Kingdom",6/2/2022,18.5,18.5,6.9,46.78,0,0,,0,0,10.4,7.7,150,1018,34.7,20.7,98,0.4,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",32,0.3387904746,28.38926227,8.767482283,30.27935988
"Birmingham, England, United Kingdom",6/2/2022,17.5,17.5,8,53.7,0,0,rain,0,0,9.4,8.1,139,1018,43.5,19.5,137,0.5,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",240,-0.9722720382,28.99939568,1.754536905,18.3445633
"Birmingham, England, United Kingdom",6/2/2022,15.9,15.9,8.1,59.75,0,0,,0,0,5.8,7.2,125,1018,31.3,19,5,0,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",278,0.9387019537,20.38743648,8.73812268,27.41212178
"Birmingham, England, United Kingdom",6/2/2022,13.8,13.8,8.4,69.54,0,0,,0,0,21.2,10.4,132,1018.2,1.8,19.1,1,0,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",147,-0.9915208992,27.00912378,10.76337357,9.146800263
"Birmingham, England, United Kingdom",6/2/2022,12.6,12.6,8.8,77.44,0,0,,0,0,14.1,11,140,1018.3,1.6,18.9,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",224,-0.6610185216,28.15190981,4.00720329,17.64008269
"Birmingham, England, United Kingdom",6/3/2022,11.4,11.4,7.8,78.33,0,0,,0,0,10.1,9.7,147,1018.3,2.2,19,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",334,-0.2194902735,24.14256066,6.058336499,20.44650973
"Birmingham, England, United Kingdom",6/3/2022,10.1,10.1,7.9,86.21,0,0,rain,0,0,9.7,10.4,140,1019,4.2,11.6,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03647099999,03534099999,03544099999",181,-0.990390707,21.13802373,4.808708166,7.595285589
"Birmingham, England, United Kingdom",6/3/2022,11.1,11.1,7.7,79.58,0,0,,0,0,11.8,8.5,153,1018.9,38.4,18.8,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",236,0.9252189716,29.65337843,13.62539599,37.73916152
"Birmingham, England, United Kingdom",6/3/2022,11.1,11.1,7.7,79.88,0,0,,0,0,10.9,8.7,144,1018.9,42,19.2,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",321,0.4872752162,29.67835294,8.80068479,33.59450879
"Birmingham, England, United Kingdom",6/3/2022,10.9,10.9,7.7,80.36,0,0,,0,0,7.7,5.8,141,1018.3,92.1,15.9,0,,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",185,0.9998962744,24.19608308,3.84980504,31.43018128
"Birmingham, England, United Kingdom",6/3/2022,10.8,10.8,8.2,83.96,0,0,,0,0,4.7,4.6,142,1018.2,71.1,14.2,5,0,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",286,0.9989577808,29.36627423,8.956548451,33.4616112
"Birmingham, England, United Kingdom",6/3/2022,10.9,10.9,8.7,86.28,0,0,,0,0,9.6,8.2,121,1018.1,41.5,12.6,18,0.1,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",56,-0.542359415,24.51378722,6.892083585,17.54991415
"Birmingham, England, United Kingdom",6/3/2022,11.8,11.8,8.7,80.92,0,0,,0,0,11,6.8,109,1018.4,42.4,13.7,93,0.3,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,03647099999,03535099999,03534099999,AU757,03544099999",110,0.8771587248,24.42330233,5.690410879,32.03769072
"Birmingham, England, United Kingdom",6/3/2022,12.4,12.4,8.8,78.66,0,0,,0,0,10,8.1,72,1018.3,37.8,13.8,167,0.6,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",233,-0.2776575109,24.56096748,10.01818722,19.93021509
"Birmingham, England, United Kingdom",6/3/2022,12.9,12.9,8.8,76.24,0,0,,0,0,10.9,8,73,1018.9,85,18.3,261,0.9,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03647099999,03535099999,AU757,03544099999",25,0.9852851019,22.47929575,11.41905049,31.51779048
"Birmingham, England, United Kingdom",6/3/2022,15.1,15.1,9.6,69.93,0.01,100,rain,0,0,13.4,9.7,70,1018.9,29.5,14.9,267,1,3,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",163,-0.7365110426,21.60390205,4.36179593,11.19642518
"Birmingham, England, United Kingdom",6/3/2022,16.5,16.5,9.5,63.47,0,0,,0,0,16.9,14,71,1018.8,31.8,14.5,367,1.3,4,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",15,0.2095375039,22.06688505,3.746065381,25.39481951
"Birmingham, England, United Kingdom",6/3/2022,18.4,18.4,9.7,56.73,0,0,rain,0,0,29.1,20.3,76,1018.1,29.6,15,793,2.9,8,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",43,0.7584409716,20.41718767,3.082712495,41.28683739
"Birmingham, England, United Kingdom",6/3/2022,19,19,11,59.82,0,0,rain,0,0,29.3,18.5,67,1018.7,66.1,14.3,918,3.3,9,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",60,0.6641741462,28.3485947,13.81673332,43.22052043
"Birmingham, England, United Kingdom",6/3/2022,19.1,19.1,11.3,60.44,0,0,rain,0,0,26.2,18.5,81,1018.7,82.5,15.1,566,2,6,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",195,0.3869000381,27.29202371,0.2471063104,37.11125371
"Birmingham, England, United Kingdom",6/3/2022,18.9,18.9,10.7,58.91,0,0,rain,0,0,29.3,17.2,71,1018.1,61.7,15.3,459,1.7,5,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,D6997,EGBB,03535099999,03534099999,03544099999",94,0.4415543812,24.39340942,0.4193450243,35.37429804
"Birmingham, England, United Kingdom",6/3/2022,18,18,10.9,63.1,0,0,rain,0,0,18.3,14.9,58,1018.1,91,14,348,1.3,3,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",176,0.8981626889,28.00531183,12.33160844,43.47414244
"Birmingham, England, United Kingdom",6/3/2022,16.8,16.8,12.4,75.17,0,0,rain,0,0,24.1,15.7,72,1018.8,91.1,13.2,120,0.4,1,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",80,-0.9969063678,20.21658261,1.181299557,-2.008898006
"Birmingham, England, United Kingdom",6/3/2022,16,16,12.9,81.8,1.47,100,rain,0,0,21.3,13.3,51,1018.9,88.8,13.7,90,0.3,1,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",181,-0.990390707,24.51374326,3.054819785,5.209822596
"Birmingham, England, United Kingdom",6/3/2022,16.5,16.5,11.2,70.96,0.15,100,rain,0,0,26,17,66,1019,40.3,14.6,74,0.3,1,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",12,-0.8963023075,21.09110563,8.354020962,-1.542844755
"Birmingham, England, United Kingdom",6/3/2022,16,16,9.9,67.16,0,0,,0,0,27.7,16.2,67,1019.2,34.6,16.1,67,0.2,1,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",268,0.6704499692,25.3108704,0.6992502258,41.01278471
"Birmingham, England, United Kingdom",6/3/2022,15.4,15.4,9,65.62,0,0,,0,0,31.7,15.5,61,1020,37.7,16.4,16,0.1,0,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",248,-0.9975332768,29.91154037,11.12455324,3.788343337
"Birmingham, England, United Kingdom",6/3/2022,14.4,14.4,9,69.95,0,0,,0,0,24.5,18.2,54,1021,40.3,16.4,18,0.1,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",3,-0.6214083129,25.02592994,4.808546028,8.849072094
"Birmingham, England, United Kingdom",6/3/2022,13.4,13.4,8,69.7,0,0,,0,0,25.7,19.9,50,1021.8,41.7,17.6,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",261,0.976456839,26.00220125,0.1051984206,52.11585256
"Birmingham, England, United Kingdom",6/4/2022,12.4,12.4,8.4,76.52,0,0,,0,0,25.5,16.6,48,1022,37.9,16.6,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",174,-0.3696672623,22.89029616,5.655468477,13.37388676
"Birmingham, England, United Kingdom",6/4/2022,11,11,10,93.16,0,0,,0,0,23.1,16.3,48,1022.2,79.8,13.5,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",184,0.7237914356,28.35449934,10.40435078,42.64972508
"Birmingham, England, United Kingdom",6/4/2022,10.9,10.9,9.6,91.72,0,0,,0,0,27.5,19,48,1022.2,92.2,12.2,0,,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",200,0.195432709,24.62165631,8.373684255,28.39535933
"Birmingham, England, United Kingdom",6/4/2022,10.9,10.9,9.6,91.11,0,0,,0,0,31.7,20.1,48,1022.2,92.2,13,0,,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",129,-0.5302027006,24.27651704,0.7871529642,9.004433117
"Birmingham, England, United Kingdom",6/4/2022,10.9,10.9,8.8,86.86,0,0,,0,0,24.1,19.6,48,1022.2,92.2,14.4,0,,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",321,0.4872752162,22.57922269,9.751146792,33.79748664
"Birmingham, England, United Kingdom",6/4/2022,10.9,10.9,8.8,86.64,0,0,,0,0,25.7,19.6,50,1022.2,92.2,13.9,12,0,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",96,-0.8608273156,22.54657846,10.50609018,-1.811765199
"Birmingham, England, United Kingdom",6/4/2022,10.9,10.9,8.8,86.54,0.05,100,rain,0,0,26.3,18.3,49,1022.3,92.2,14.5,22,0.1,0,10,"Rain, Overcast",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",184,0.7237914356,28.75876302,11.18667087,44.94195232
"Birmingham, England, United Kingdom",6/4/2022,11,11,8.8,86.2,0,0,,0,0,27.5,20.2,51,1022.9,92.2,14.5,83,0.3,1,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",120,-0.1177454071,21.86809858,8.07830101,17.44737576
"Birmingham, England, United Kingdom",6/4/2022,11.9,11.9,8.8,81.29,0,0,,0,0,28.9,20.8,48,1022.9,91.7,15.3,97,0.3,1,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",118,0.9811266411,20.38837393,7.92811289,47.28891976
"Birmingham, England, United Kingdom",6/4/2022,12.4,12.4,8.7,78.04,0,0,,0,0,31.2,21.6,62,1023,90.1,15.4,258,0.9,3,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",8,0.953458383,22.4928934,10.06428916,49.52117331
"Birmingham, England, United Kingdom",6/4/2022,12.8,12.8,8.7,75.84,0,0,,0,0,31.6,21.9,60,1023,76.1,16.5,329,1.2,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",19,-0.05792383996,29.15045857,7.826077857,25.87231631
"Birmingham, England, United Kingdom",6/4/2022,12.9,12.9,8.7,75.68,0,0,,0,0,35.6,23.6,61,1023,64,16.4,274,1,3,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",113,-0.9213045621,28.86322211,10.76479336,-3.708188539
"Birmingham, England, United Kingdom",6/4/2022,12.9,12.9,9.2,77.9,0,0,,0,0,28.6,19.5,55,1023.1,64.3,16.3,156,0.6,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",7,0.4946162723,20.01923939,0.2589410148,33.40671327
"Birmingham, England, United Kingdom",6/4/2022,13,13,9.3,77.99,0.04,100,rain,0,0,25.6,20.5,57,1023.1,63.8,16.6,237,0.9,2,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",83,0.6810666475,29.84922928,2.998615346,47.86964589
"Birmingham, England, United Kingdom",6/4/2022,14,14,9.7,75.48,0,0,,0,0,31.5,22.3,58,1022.9,64.4,16,239,0.9,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",215,-0.9179953104,21.52456481,11.59265013,-8.331095948
"Birmingham, England, United Kingdom",6/4/2022,14.2,14.2,8.9,70.75,0,0,,0,0,30.9,22.5,64,1022.2,45.2,17.8,181,0.7,2,10,Partially cloudy,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",296,0.3308503522,27.2394516,11.10090101,35.39733528
